model,label,MAE,RMSE,MAPE
speed_only,Speed_overall,0.9191119,1.8649138,8.540833
speed_only,Speed_1h,0.89232683,1.7702224,7.939241
speed_only,Speed_3h,0.92509204,1.8752927,8.628336
speed_only,Speed_6h,0.9361515,1.9187831,8.893805
speed_only,Speed_peak,0.8927806,1.8598754,8.390671
speed_only,Speed_offpeak,0.92996746,1.8669873,8.602741
speed_only,Speed_weekend,0.9766657,1.9643724,9.020644
speed_only,Speed_weekday,0.8955734,1.822674,8.344599
demand_only,Demand_overall,3.366724,13.813735,51.29918
demand_only,Demand_1h,3.5363953,13.35691,52.25594
demand_only,Demand_3h,3.1230597,13.617777,48.92989
demand_only,Demand_6h,3.6999009,14.658769,54.550552
demand_only,Demand_peak,4.099843,16.266663,42.07244
demand_only,Demand_offpeak,3.0644834,12.664916,55.325447
demand_only,Demand_weekend,3.3363078,14.282739,47.956802
demand_only,Demand_weekday,3.379164,13.617266,52.69309
independent_dual,Speed_overall,0.9166273,1.8714983,8.544853
independent_dual,Demand_overall,2.8584294,12.741075,50.07034
independent_dual,Speed_1h,0.8581847,1.7528688,7.90665
independent_dual,Demand_1h,2.688302,11.710464,48.03363
independent_dual,Speed_3h,0.91389954,1.876652,8.58722
independent_dual,Demand_3h,2.7505703,12.722964,49.79281
independent_dual,Speed_6h,0.9526371,1.9311726,8.897534
independent_dual,Demand_6h,3.1105285,13.6832695,53.921593
independent_dual,Speed_peak,0.89200056,1.8581847,8.445786
independent_dual,Demand_peak,3.5873187,15.265182,40.361126
independent_dual,Speed_offpeak,0.92678,1.8769597,8.585695
independent_dual,Demand_offpeak,2.5579317,11.540863,54.307144
independent_dual,Speed_weekend,0.9796808,1.9673727,9.144662
independent_dual,Demand_weekend,3.1263342,14.513852,52.890633
independent_dual,Speed_weekday,0.8908394,1.8308413,8.29954
independent_dual,Demand_weekday,2.7488592,11.940439,48.894157
joint,Speed_overall,0.90893847,1.8544744,8.6324005
joint,Demand_overall,2.3175175,11.854128,38.964783
joint,Speed_1h,0.8593818,1.7744404,8.029867
joint,Demand_1h,1.9787256,9.901862,34.282692
joint,Speed_3h,0.9226555,1.8757175,8.790478
joint,Demand_3h,2.3581126,12.0022955,39.960785
joint,Speed_6h,0.92439234,1.8816981,8.832338
joint,Demand_6h,2.4418168,12.666695,41.11766
joint,Speed_peak,0.8847491,1.8449558,8.526126
joint,Demand_peak,2.9419591,14.166049,32.161526
joint,Speed_offpeak,0.9189109,1.8583846,8.676213
joint,Demand_offpeak,2.0600812,10.757311,41.93352
joint,Speed_weekend,0.99119014,1.9843907,9.297618
joint,Demand_weekend,2.7762733,14.142183,42.293694
joint,Speed_weekday,0.8752987,1.798639,8.360335
joint,Demand_weekday,2.1298933,10.779307,37.576492
